Disease Term,Id,Description
Brachial Plexus Neuritis,41,"It is an inflammation of the nerves in the brachial plexus, causing sudden, severe pain in the shoulder and arm, often leading to weakness and numbness."
Hyperemia,42,"Hyperemia is a medical condition characterized by an excessive amount of blood in body parts or organs, typically caused by increased blood flow due to inflammation, infection, or the presence of a blockage."
Aortic Valve Stenosis,43,"Aortic Valve Stenosis is a cardiac condition characterized by the narrowing of the aortic valve in the heart, which restricts blood flow and forces the heart to work harder to pump blood throughout the body."
Cardiovascular Abnormalities,44,Cardiovascular abnormalities refer to any disorders or defects in the heart or blood vessels which can lead to conditions like heart disease or stroke.
Subacute Sclerosing Panencephalitis,45,"A rare, life-threatening neurological disorder characterized by a gradual and progressive decline in cognitive ability, behavior and motor skills due to persistent measles virus infection in the brain."
"Niemann-Pick Disease, Type C",46,"Niemann-Pick Disease, Type C is a rare genetic disorder affecting lipid metabolism and resulting in harmful amounts of lipids accumulating in the spleen, liver, lungs, bone marrow, and brain."
Hyperparathyroidism,47,"This is a condition characterized by the overproduction of parathyroid hormone by the parathyroid glands, leading to high levels of calcium in the blood and potentially causing kidney stones, osteoporosis, and other health problems."
Enchondromatosis,48,"Enchondromatosis is a rare disorder resulting in the development of benign cartilage-filled tumors in the bones, especially in the small bones of the hands and feet due to an overproduction of cartilage in growth plates."
Adrenal Cortex Diseases,49,"Adrenal Cortex Diseases are a group of conditions that affect the outer layer (cortex) of the adrenal glands, causing symptoms like fatigue, muscle weakness, and hormone imbalances."
Porphyrias,50,"Porphyrias are a group of rare genetic disorders that affect the nervous system and skin, resulting from a buildup of certain chemicals related to red blood cell proteins."
Tetany,51,"Tetany is a medical condition characterized by involuntary muscle contractions or spasms, often associated with low levels of calcium in the blood or hyperventilation."
Eczema,52,"Eczema is a chronic, inflammatory skin condition characterized by red, itchy rashes that can occur anywhere on the body."
Ellis-Van Creveld Syndrome,53,"Ellis-Van Creveld Syndrome is a genetic disorder characterized by short stature, polydactyly (extra fingers or toes), heart defects, and abnormalities in the nails and teeth."
Retinal Vein Occlusion,54,"An ocular condition caused by a blockage in the small veins that carry blood from the retina, leading to blurred vision or sudden vision loss."
Skin Diseases,55,"Skin diseases encompass a wide variety of conditions that affect the skin, ranging from benign dermatoses to life-threatening skin cancers, encompassing conditions like eczema, psoriasis, and dermatitis."
Blepharophimosis,56,"Blepharophimosis is a congenital condition characterized by severe eyelid abnormalities, such as narrow eye openings, that can cause limited vision or difficulty closing the eyes."
Neurotoxicity Syndromes,57,"These are a group of syndromes caused by the exposure to substances that are toxic to the nervous system, leading to symptoms like cognitive, motor, and sensory impairments."
"Myoclonic Epilepsy, Juvenile",58,This is a form of epilepsy characterized by myoclonic and generalized tonic-clonic seizures often starting in adolescence.
Mitochondrial Diseases,59,"These are a group of disorders caused by dysfunctional mitochondria, the organelles that generate energy for the cell, resulting in symptoms such as muscle weakness, neurological problems, cardiac disease, liver disease, diabetes, respiratory complications, and an impaired ability to recover from infections."
Urologic Neoplasms,60,"Urologic Neoplasms are abnormal growths or tumors that develop in urinary system organs such as the kidneys, bladder, prostate, testicles, and adrenal glands."
"Multiple Sclerosis, Relapsing-Remitting",61,This is a neurodegenerative disorder characterized by episodes of new or increasing neurologic symptoms followed by periods of partial or complete recovery.
"Scleroderma, Localized",62,Localized scleroderma is a condition characterized by the thickening and hardening of the skin and associated tissues in localized areas on the skin.
Pancytopenia,63,"Pancytopenia is a medical condition characterized by reduced levels of all the blood cells - platelets, white blood cells, and red blood cells."
"Hypertension, Pulmonary",64,Pulmonary Hypertension refers to a type of high blood pressure that affects the arteries in the lungs and the right side of the heart.
"Myoclonic Epilepsies, Progressive",65,"Progressive Myoclonic Epilepsies are a group of neurological disorders characterized by myoclonic seizures, progressive neurological dysfunction, and other types of seizures."
"Truncus Arteriosus, Persistent",66,"Persistent Truncus Arteriosus is a rare heart defect present at birth where a single blood vessel comes out of the heart, instead of the usual two, causing oxygen-rich and oxygen-poor blood to mix."
Neural Tube Defects,67,"Neural Tube Defects are a group of birth defects in babies associated with incomplete development of the brain, spinal cord and/or their protective coverings caused by a failure of the fetus's spine to close properly during the early stages of pregnancy."
Esophagitis,68,"Esophagitis is a condition characterized by inflammation or irritation of the esophagus often caused by stomach acid reflux, infections, or certain medications."
Kidney Calculi,69,"Kidney Calculi, commonly known as kidney stones, are hard deposits of minerals and salts that form inside the kidneys, often causing severe pain when passed."
"Melanoma, Experimental",70,"This is a type of skin cancer predominantly caused by intense, occasional UV exposure and is characterized by the uncontrolled growth of pigment-producing cells."
Factor XI Deficiency,71,"A rare genetic disorder characterized by an abnormal clotting process due to lack of a protein called Factor XI, ultimately leading to prolonged or excessive bleeding."
Athetosis,72,"Athetosis is a continuous stream of slow, flowing, writhing movements, primarily affecting the hands and fingers but also possibly involving the arms, legs, neck, and even the tongue."
"Psychoses, Substance-Induced",73,"This condition is characterized by severe mental changes, including hallucinations and delusions, triggered by excessive use or withdrawal from drugs and alcohol."
Intracranial Hemorrhages,74,"Intracranial hemorrhages are the result of blood vessels rupturing within the brain or between the brain and the skull, causing bleeding and often leading to increased intracranial pressure, brain injury, or stroke."
Stomach Ulcer,75,"A stomach ulcer is a painful sore that develops on the lining of the stomach, upper small intestine, or esophagus due to damage from stomach acid."
Dental Enamel Hypoplasia,76,"It is a defect of the teeth in which the enamel is hard but thin and deficient in amount, often caused by malnutrition, infection, or trauma during the period of enamel formation."
Hypoproteinemia,77,"Hypoproteinemia is a condition characterized by unusually low levels of protein in the blood, often caused by inadequate protein intake, inability to absorb or break down protein, or excessive loss of protein through the kidneys."
Hepatic Encephalopathy,78,"It is a decline in brain function that occurs due to severe liver disease, often caused by toxins not being properly cleansed from the bloodstream."
Intestinal Polyps,79,"Intestinal Polyps are small clumps of cells that form on the lining of the colon or rectum, which can become cancerous over time."
Lung Diseases,80,"Lung diseases refer to various pathological conditions that affect the functions of the lungs, including bronchitis, emphysema, asthma, and lung cancer, causing symptoms such as shortness of breath, persistent cough, and chest pain."
Legg-Perthes Disease,81,Legg-Perthes Disease is a childhood condition that occurs when blood supply to the ball part of the hip joint is temporarily interrupted causing bone cell death and potential hip deformity.
Ciliary Motility Disorders,82,"These are genetic conditions that cause abnormalities in the tiny hair-like structures called cilia, leading to problems in lung clearance, reproduction, and other body systems functioning."
Cleidocranial Dysplasia,83,"Cleidocranial Dysplasia is a rare genetic condition characterized by delayed closing of the soft spot on the skull, absence or underdevelopment of collarbones, and abnormally shaped teeth."
Eunuchism,84,"Eunuchism is a condition characterized by deficiency or the absence of sexual hormones, often resulting in underdeveloped or absent secondary sexual characteristics and/or sterility."
Asphyxia,85,Asphyxia is a life-threatening condition characterized by severe deficiency of oxygen supply to the body that can lead to unconsciousness or death if not promptly treated.
Pneumonia,86,"It's a lung infection characterized by inflammation of the air sacs, which may fill with fluid or pus, causing cough with phlegm, fever, chills, and shortness of breath."
"Lipid Metabolism, Inborn Errors",87,"It's a genetic disorder leading to defects in the body's ability to metabolize fats or lipids, causing an accumulation of specific lipid types that can lead to health problems."
Angina Pectoris,88,"Angina Pectoris is a condition characterized by chest pain or discomfort due to coronary heart disease typically caused by high blood pressure or atherosclerosis, where the heart muscles don't get as much blood as they need."
Pain,89,"Pain is an uncomfortable sensation typically associated with illness or injury, with intensity ranging from minor discomfort to severe distress."
Vipoma,90,"Vipoma is a rare pancreatic tumor that produces vasoactive intestinal polypeptide (VIP), leading to severe watery diarrhea and electrolyte imbalance."
Syncope,91,Syncope is a temporary loss of consciousness usually related to insufficient blood flow to the brain.
"Lymphoma, T-Cell",92,"T-Cell Lymphoma is a type of blood cancer that starts in T-cells, a type of white blood cell, which typically affects the lymphatic system."
Dementia,93,"Dementia is a progressive syndrome characterized by the decline in cognitive function beyond what's considered part of normal aging, affecting memory, thinking skills, and the ability to perform everyday activities."
"Infant, Premature, Diseases",94,"These are health problems that occur in babies born before 37 weeks of gestational age, leading to complications such as breathing issues, poor growth, and developmental delays."
Cogan Syndrome,95,"Cogan Syndrome is a rare condition characterized by rapid onset inflammation in the eyes and auditory-vestibular dysfunction, often accompanied by various systemic manifestations."
"Liver Cirrhosis, Alcoholic",96,"It's a chronic liver disease characterized by extensive fibrosis, scarring, and nodular regeneration triggered by prolonged, excessive consumption of alcohol."
Hypotension,97,"Hypotension is a condition characterized by abnormally low blood pressure, often leading to symptoms like dizziness and fainting."
Glioblastoma,98,"Glioblastoma is a fast-growing, aggressive type of central nervous system tumor that forms on the supportive tissue of the brain."
Basal Ganglia Diseases,99,"These are disorders that result from damage to a region of the brain responsible for controlling movements, which can lead to symptoms such as involuntary or uncontrolled movements, loss of motor coordination, and problems with physical speaking and swallowing."
"Hypoxia-Ischemia, Brain",100,"This is a condition caused by reduced oxygen or blood flow to the brain, often leading to neuronal damage and potential cognitive or physical impairments."
Water-Electrolyte Imbalance,101,"This condition occurs when the body's balance of key minerals, like sodium and potassium, required for normal body function is disrupted, causing a variety of symptoms depending on the mineral involved."
Laryngeal Diseases,102,"Laryngeal diseases are disorders affecting the larynx (voice box), that may lead to voice changes, difficulty swallowing, or breathing problems."
Hodgkin Disease,103,"Hodgkin Disease is a type of lymphoma, which is a blood cancer that originates in the lymphatic system, causing the cells in the lymph nodes to change and grow out of control."
Acromegaly,104,"Acromegaly is a hormonal disorder that occurs when the pituitary gland produces excessive growth hormone, often due to a noncancerous tumor, causing enlarged hands, feet, and facial features."
Hyperlipidemias,105,Hyperlipidemias are disorders characterized by abnormally high levels of lipids (fats or cholesterol) in the blood.
"Candidiasis, Vulvovaginal",106,"Vulvovaginal Candidiasis is a fungal infection affecting the vagina and vulva, often resulting in itching, burning, and discharge."
Kallmann Syndrome,107,"Kallmann Syndrome is a genetic disorder characterized by delayed or absent puberty and an impaired sense of smell, often caused by a deficiency in the gonadotropin-releasing hormone (GNRH)."
Mucocutaneous Lymph Node Syndrome,108,"Mucocutaneous Lymph Node Syndrome, also known as Kawasaki disease, is a condition that causes inflammation in the walls of medium-sized arteries throughout the body, predominantly affecting children and leading to symptoms like fever, rash, swollen neck glands, and red fingers or toes."
"Leukemia, Lymphoid",109,"Lymphoid Leukemia is a form of blood cancer that originates in the lymphocytic white blood cells in the bone marrow, causing an abnormal increase in white blood cells."
"Encephalitis, Herpes Simplex",110,"Encephalitis is inflammation of the brain, often due to a viral infection, while Herpes Simplex is a contagious virus that typically causes sores around the mouth or genitals."
Rhabdoid Tumor,111,"Rhabdoid tumor is a rare and aggressive type of cancer that primarily affects infants and young children, and usually begins in the kidneys but can occur in other areas, like the liver or other soft tissues."
Myxoma,112,"Myxoma is a rare, noncancerous tumor that develops in the heart, most often in the left atrium, and can lead to obstructions in blood flow."
Wilms Tumor,113,"Wilms Tumor is a rare kidney cancer that primarily affects children, characterized by an abnormal growth of cells in the kidneys."
Intervertebral Disk Displacement,114,"It's a condition where the discs, which act as cushioning between the vertebrae in the spine, move out of their natural position, often leading to pain, numbness, or weakness."
Pseudoxanthoma Elasticum,115,"Pseudoxanthoma Elasticum is a rare genetic disorder that causes the progressive mineralization of elastic fibers in connective tissues, leading to abnormalities in the skin, eyes, cardiovascular system, and gastrointestinal systems."
Peptic Ulcer,116,"Peptic Ulcer is a condition characterized by painful sores or ulcers developing in the lining of the stomach, upper small intestine, or esophagus, often caused by long-term use of NSAIDs (nonsteroidal anti-inflammatory drugs) or infection with the bacteria H. pylori."
"Arthritis, Psoriatic",117,"Psoriatic Arthritis is a chronic inflammatory disease that affects both the skin, resulting in psoriasis, and the joints, leading to arthritis."
Galactosemias,118,"Galactosemias is a genetic disorder affecting the body's ability to process the simple sugar galactose, leading to a range of complications from kidney and liver damage to intellectual disability."
West Nile Fever,119,"West Nile Fever is a mosquito-borne infectious disease originating from the West Nile virus, primarily exhibited in humans and other animals with symptoms ranging from no significant manifestation to lethal neuroinvasive disease like encephalitis or meningitis."
Central Nervous System Diseases,120,"These are disorders that affect either the brain or the spinal cord, which together form the central nervous system, resulting in symptoms like persistent headaches, chronic pain, paralysis, seizures, and changes in sensation or personality."
Granuloma,121,"Granuloma is a type of inflammation resulting from a collection of immune cells, often caused by an infection, inflammatory conditions, certain types of cancer, or foreign substances."
"Sinus Thrombosis, Intracranial",122,"Intracranial Sinus Thrombosis is a serious condition where a blood clot forms in the brain's venous sinuses, which can result in brain swelling and stroke-like symptoms."
Immunologic Deficiency Syndromes,123,"These are disorders characterized by a malfunction or deficiency in the immune system, impacting its ability to adequately protect the body against disease or potentially harmful foreign substances."
Neuroendocrine Tumors,124,"These are rare tumors that begin in the neuroendocrine cells, which integrate the nervous and endocrine systems, and have varying degrees of potential aggressiveness, including pancreatic and carcinoid types."
Spinal Dysraphism,125,"Spinal Dysraphism is a congenital condition characterized by abnormal fusion of certain parts of the spinal cord, which often leads to neurological complications."
Mouth Neoplasms,126,"Mouth Neoplasms are abnormal growths in the mouth that can range from benign to malignant and typically involve the lips, tongue, floor of the mouth, cheek lining, gingiva (gums), roof of the mouth or back of the mouth."
Deafness,127,"Deafness is a condition characterized by partial or complete inability to hear sounds, often due to damage in the auditory system."
"Nails, Malformed",128,"Malformed nails refers to a disorder where nails grow irregularly or abnormally due to various conditions, potentially including infections, injuries, or underlying diseases."
Bradycardia,129,"Bradycardia is a condition characterized by an abnormally slow heart rate, typically less than 60 beats per minute."
Neoplasm Metastasis,130,Neoplasm Metastasis refers to the spread of cancer cells from the primary site of the cancer to other parts of the body through the bloodstream or lymphatic system.
Tooth Abnormalities,131,"Tooth abnormalities refer to conditions characterized by irregularities in the size, shape, structure, or position of teeth, often associated with dental health issues or genetic disorders."
Macrocephaly,132,"Macrocephaly is a condition where an individual, typically a child, has an abnormally large head often due to increased pressure on the brain or developmental and genetic disorders."
Sick Sinus Syndrome,133,"Sick Sinus Syndrome is a group of heart rhythm disorders in which the heart's natural pacemaker, the sinus node, doesn't work properly, leading to symptoms like fatigue, shortness of breath, and heart palpitations."
Uterine Cervical Neoplasms,134,"These are tumors or growths, either benign or malignant, located in the lower, narrow part of a woman's uterus."
"Lymphoma, B-Cell",135,B-Cell Lymphoma is a type of cancer that targets white blood cells (B cells) and primarily affects the lymph nodes and lymphatic system.
"Hypertension, Pregnancy-Induced",136,"This is a condition in pregnant women, characterized by high blood pressure typically occurring after the 20th week of gestation, without the presence of protein in the urine or other signs pre-eclampsia."
Bartter Syndrome,137,"Bartter Syndrome is a rare genetic disorder characterized by defects in the kidney's salt reabsorption process, leading to a loss of potassium, magnesium, and certain other minerals in the urine and blood."
Tracheoesophageal Fistula,138,Tracheoesophageal fistula is a congenital defect in which there is an abnormal connection (fistula) between the esophagus and the trachea.
Budd-Chiari Syndrome,139,"Budd-Chiari Syndrome is a rare liver condition where one or more hepatic veins that drain blood from the liver into the inferior vena cava become blocked, leading to liver damage and potentially life-threatening complications."
Chromosome Disorders,140,"Chromosome Disorders are genetic disorders caused by abnormalities in an individual's chromosomes, characterized by physical, intellectual and developmental problems."
Eosinophilia,141,"Eosinophilia is a condition characterized by an excessive number of eosinophils, a type of white blood cell, often in response to an infection, allergy, or autoimmune disease."
"Mycobacterium Infections, Atypical",142,"Atypical Mycobacterium Infections are caused by a species of bacteria other than tuberculosis, often presenting with lung disease, skin disease, or lymphadenitis, and can be difficult to treat due to their resistance to common antibiotics."
Dengue Hemorrhagic Fever,143,"An acute, infectious tropical disease caused by four closely related dengue viruses, manifested as severe joint and muscle pain, swollen lymph nodes, headache, fever, exhaustion, and rash, that can potentially be fatal due to complications leading to bleeding, blood plasma leakage, and low platelet count."
"Aortic Stenosis, Supravalvular",144,"Supravalvular Aortic Stenosis is a heart condition characterized by a narrowing of the section of the aorta just above the aortic valve, resulting in restricted blood flow, increased heart workload and potentially heart damage."
Agammaglobulinemia,145,"Agammaglobulinemia is a genetic disorder marked by a lack of B-lymphocytes and consequently low levels of immunoglobulins, causing a vulnerability to bacterial and viral infections."
Rhinitis,146,"Rhinitis is an inflammatory condition characterized by symptoms like frequent sneezing, runny or congested nose, and itchy or sore throat, often triggered by allergens or irritants in the environment."
"Fibromatosis, Aggressive",147,"Aggressive fibromatosis is a rare condition marked by the growth of noncancerous tumors that develop in the soft tissue usually comprised of muscle, fibrous tissue, and tendons, and have a high likelihood of recurrence even after surgical removal."
"Infarction, Middle Cerebral Artery",148,"This is a type of stroke caused by a blockage in the middle cerebral artery, leading to lack of blood flow and potential brain damage in the area the artery supplies."
"Spastic Paraplegia, Hereditary",149,This is a genetic neurological disorder characterized by progressive weakness and spasticity (stiffness) of the legs.
"Leukemia, Promyelocytic, Acute",150,"This is a fast-growing cancer of the bone marrow and blood, in which too many immature white blood cells (promyelocytes) are produced, leading to fatigue, bleeding, and risk of infections."
"Spondylitis, Ankylosing",151,"Ankylosing Spondylitis is a long-term inflammatory disease that primarily affects the spine and sacroiliac joints, leading to severe, chronic pain and discomfort, often resulting in a hunched-forward posture."
Cafe-au-Lait Spots,152,"Cafe-au-Lait Spots are flat, pigmented birthmarks, named for their coffee-like color, and can indicate the presence of certain genetic conditions such as neurofibromatosis."
Ileitis,153,"Ileitis is an inflammation of the ileum, the third and longest portion of the small intestine, which may result in symptoms like abdominal pain, diarrhea, and weight loss."
Tobacco Use Disorder,154,"Tobacco Use Disorder is a condition characterized by the harmful and addictive consumption of nicotine-based products such as cigarettes, which often leads to serious health complications."
Asthma,155,"Asthma is a chronic condition characterized by inflammation and narrowing of the bronchial tubes, leading to difficulty breathing, wheezing, chest tightness, and coughing."
Diffuse Cerebral Sclerosis of Schilder,156,"Diffuse Cerebral Sclerosis of Schilder is a rare progressive degenerative disease affecting the white matter of the brain, often leading to behavioral changes, cognitive decline and physical disability."
"Breast Neoplasms, Male",157,"These are rare tumors, usually malignant, that form in male breast tissue, often presenting as a hard, painless lump."
Carotid Artery Thrombosis,158,"This is a serious condition resulting from a blood clot that forms inside the carotid artery, disrupting or blocking the blood flow to the brain, potentially causing a stroke."
"Purpura, Thrombotic Thrombocytopenic",159,"It is a rare blood disorder resulting in clot formation in small blood vessels throughout the body, leading to serious complications like kidney failure and neurological problems."
Leprosy,160,"Leprosy, also known as Hansen's disease, is a chronic infectious disease caused by Mycobacterium leprae, characterized by skin lesions, nerve damage and progressive debilitation."
Multiple Sclerosis,161,"Multiple Sclerosis is a chronic disease where the immune system erroneously attacks the protective covering of nerve fibers in the central nervous system, interrupting communication between the brain and the body."
Wolfram Syndrome,162,"Wolfram Syndrome is a rare genetic disorder characterized by insulin-dependent diabetes mellitus, optic atrophy leading to blindness, diabetes insipidus and deafness."
Myoglobinuria,163,"Myoglobinuria is a condition characterized by the presence of myoglobin in the urine, typically due to muscle injury, resulting in discolored urine and potential kidney damage."
"Anemia, Sickle Cell",164,"This condition is a genetic disorder characterized by abnormally shaped red blood cells that can cause painful episodes, frequent infections, delayed growth, and vision problems."
Craniofacial Dysostosis,165,"It is a rare genetic condition characterized by premature fusion of certain skull bones, leading to abnormal growth patterns of the skull and distinctive facial features."
Polyuria,166,Polyuria is a condition characterized by the production of abnormally large volumes of dilute urine.
"Colitis, Ulcerative",167,Ulcerative Colitis is a chronic inflammatory bowel disease characterized by inflammation and ulcers in the innermost lining of the colon and rectum.
Beckwith-Wiedemann Syndrome,168,"Beckwith-Wiedemann Syndrome is a congenital overgrowth disorder usually characterized by a larger than average size at birth, above average growth in early life, and an increased risk of childhood cancer, as well as unique features such as a large tongue, abdominal wall defects, and unusual ear creases or pits."
"Aortic Aneurysm, Abdominal",169,"It is a potentially life-threatening condition characterized by the enlargement or bulging of the largest body's arterial vessel (the aorta), specifically within the abdomen, which can rupture if untreated."
Joint Instability,170,"Joint instability is a condition characterized by the excessive, often abnormal, movement of specific joints due to weakened or stretched ligaments and muscles."
Exocrine Pancreatic Insufficiency,171,"This is a condition characterized by insufficient production and secretion of pancreatic enzymes, leading to difficulty digesting food and absorbing nutrients."
Premature Birth,172,"This is a condition that occurs when a baby is born before completing 37 weeks of gestation, potentially leading to long-term health issues like intellectual disabilities, cerebral palsy, and vision and hearing loss."
"Multiple Sclerosis, Chronic Progressive",173,Chronic Progressive Multiple Sclerosis is a neurological condition characterized by a steady deterioration of the nervous system without any distinct relapses or remissions.
"Thrombocythemia, Essential",174,"Essential Thrombocythemia is a rare chronic blood disorder characterized by the overproduction of platelets by the bone marrow, potentially leading to blood clotting and bleeding events."
Microcephaly,175,Microcephaly is a birth defect where a baby's head is significantly smaller than expected due to abnormal brain development in the womb or halted growth after birth.
Brain Injuries,176,"Brain injuries are damages to the brain that impair its functions and can result from trauma, lack of oxygen, infections, or medical conditions."
Precursor Cell Lymphoblastic Leukemia-Lymphoma,177,"This is a type of cancer where the body produces an excessive amount of immature white blood cells, preventing the normal formation and function of other blood cells."
"Epilepsy, Rolandic",178,"Rolandic epilepsy is a common type of childhood epilepsy that causes seizures affecting the face and throat, as well as unusual brain activity during sleep."
"Fibrous Dysplasia, Polyostotic",179,"Polyostotic Fibrous Dysplasia is a rare, genetic skeletal disorder that replaces normal bone with fibrous bone tissue, leading to fractures, deformity, and uneven growth and can potentially affect multiple bones in the body."
HIV Infections,180,"HIV Infections are sexually transmitted infections that attack the immune system, potentially causing Acquired Immunodeficiency Syndrome (AIDS), which can result in severe health issues and death."
"Cell Transformation, Neoplastic",181,"This is a process where cells acquire the properties of neoplasms (abnormal tissue growths), including uncontrolled growth, ability to metastasize (spread), and survival past the normal cellular life cycle."
"Kidney Failure, Chronic",182,"Chronic Kidney Failure refers to the gradual loss of kidney function, resulting in the build-up of waste, water, and other toxins in the body that the kidneys can't remove."
Cytochrome-c Oxidase Deficiency,183,"This is a rare genetic disorder characterized by poor muscle tone, impaired growth, developmental delay, and the inability of cells to use oxygen, which can cause damage to many of the body's systems, particularly the nervous system and the heart."
Ichthyosis,184,"Ichthyosis is a group of skin disorders characterized by dry, thickened, and scaly skin affecting either all or certain parts of the body."
Bone Diseases,185,"These are conditions that lead to deterioration or abnormalities in the structure or function of the skeleton, affecting bone density, shape, and strength."
